movie,chapter,scene_counting,emotion,prediction
Harry Potter and the Chamber of Secrets,Dobby's warning,36,fun,1
Harry Potter and the Chamber of Secrets,Dobby's warning,36,neutral,15
Harry Potter and the Chamber of Secrets,Dobby's warning,36,sadness,1
Harry Potter and the Chamber of Secrets,Dobby's warning,36,worry,12
Harry Potter and the Chamber of Secrets,Dobby's warning,36,happiness,2
Harry Potter and the Chamber of Secrets,Dobby's warning,36,surprise,1
Harry Potter and the Chamber of Secrets,Dobby's warning,36,hate,2
Harry Potter and the Chamber of Secrets,Car rescue,37,neutral,3
Harry Potter and the Chamber of Secrets,Car rescue,37,relief,1
Harry Potter and the Chamber of Secrets,Car rescue,37,sadness,2
Harry Potter and the Chamber of Secrets,The Burrow,38,hate,1
Harry Potter and the Chamber of Secrets,The Burrow,38,happiness,2
Harry Potter and the Chamber of Secrets,The Burrow,38,love,2
Harry Potter and the Chamber of Secrets,The Burrow,38,neutral,4
Harry Potter and the Chamber of Secrets,The Burrow,38,sadness,4
Harry Potter and the Chamber of Secrets,The Burrow,38,surprise,2
Harry Potter and the Chamber of Secrets,The Burrow,38,worry,4
Harry Potter and the Chamber of Secrets,To Diagon Alley,39,worry,5
Harry Potter and the Chamber of Secrets,To Diagon Alley,39,enthusiasm,1
Harry Potter and the Chamber of Secrets,To Diagon Alley,39,happiness,1
Harry Potter and the Chamber of Secrets,To Diagon Alley,39,neutral,3
Harry Potter and the Chamber of Secrets,To Diagon Alley,39,fun,1
Harry Potter and the Chamber of Secrets,To Diagon Alley,39,sadness,1
Harry Potter and the Chamber of Secrets,To Diagon Alley,39,relief,1
Harry Potter and the Chamber of Secrets,Flourish and Blotts,40,fun,1
Harry Potter and the Chamber of Secrets,Flourish and Blotts,40,worry,2
Harry Potter and the Chamber of Secrets,Flourish and Blotts,40,happiness,3
Harry Potter and the Chamber of Secrets,Flourish and Blotts,40,sadness,3
Harry Potter and the Chamber of Secrets,Flourish and Blotts,40,love,1
Harry Potter and the Chamber of Secrets,Flourish and Blotts,40,neutral,8
Harry Potter and the Chamber of Secrets,Flourish and Blotts,40,relief,1
Harry Potter and the Chamber of Secrets,Flying to Hogwarts,41,sadness,2
Harry Potter and the Chamber of Secrets,Flying to Hogwarts,41,surprise,1
Harry Potter and the Chamber of Secrets,Flying to Hogwarts,41,worry,4
Harry Potter and the Chamber of Secrets,Flying to Hogwarts,41,fun,2
Harry Potter and the Chamber of Secrets,Flying to Hogwarts,41,enthusiasm,3
Harry Potter and the Chamber of Secrets,Flying to Hogwarts,41,hate,1
Harry Potter and the Chamber of Secrets,Flying to Hogwarts,41,neutral,5
Harry Potter and the Chamber of Secrets,Whomping Willow,42,surprise,1
Harry Potter and the Chamber of Secrets,Whomping Willow,42,neutral,2
Harry Potter and the Chamber of Secrets,Whomping Willow,42,fun,1
Harry Potter and the Chamber of Secrets,Whomping Willow,42,worry,3
Harry Potter and the Chamber of Secrets,Not expelled…today,43,sadness,1
Harry Potter and the Chamber of Secrets,Not expelled…today,43,worry,5
Harry Potter and the Chamber of Secrets,Not expelled…today,43,neutral,3
Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,44,fun,1
Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,44,happiness,3
Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,44,hate,1
Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,44,neutral,7
